#{"t_start": 1763756444.8246543, "env_id": "None"}
r,l,t
-1027.3075,2,0.816985
-1027.9778,2,0.817057
-1038.9452,2,0.817073
-1030.4307,2,0.81708
-1037.9623,3,0.835416
-1041.6112,3,0.83551
-1034.9716,3,0.835544
-1035.4478,2,0.851129
-949.8825,5,0.868735
-1091.6306,6,0.890024
-1676.2078,7,0.902987
-908.65393,7,0.903054
-1614.5211,8,0.917322
-1108.68,9,0.933536
-1155.61,9,0.933603
-910.32104,5,0.952404
-1312.4233,7,0.952484
-2431.51,10,0.952501
-1532.8912,8,0.952506
-1133.639,4,0.952512
-1031.3297,2,0.989588
-1591.7007,12,0.989685
-2113.9678,12,0.989703
-1059.7703,3,0.98971
-979.8499,5,0.989715
-907.3745,4,1.003125
-1272.7327,10,1.003201
-1021.212,2,1.016783
-1023.3802,2,1.016871
-1403.4644,4,1.016958
-995.53284,3,1.031118
-943.9181,4,1.044798
-452.26178,16,1.044871
-880.3499,6,1.044889
-731.54785,13,1.065591
-1749.8474,4,1.095445
-2031.0417,20,1.107423
-1043.3148,5,1.12305
-921.637,20,1.146142
-1592.7026,13,1.164531
-998.79736,3,1.164635
-211.84735,23,1.164652
-1120.444,10,1.183144
-1388.5024,4,1.199655
162.6977,26,1.21751
-355.65802,24,1.232453
-1704.7849,25,1.232519
-1077.4694,14,1.232534
-2460.1948,14,1.251853
-1334.9949,15,1.25195
-988.08344,5,1.268721
-2340.6106,6,1.268843
-1042.517,2,1.285683
-1259.2756,4,1.299702
-1133.4818,5,1.314848
-2602.189,24,1.314948
-410.17554,33,1.330232
-1344.3036,16,1.362344
-1521.8098,4,1.379821
-1611.6816,7,1.379912
-1591.6458,29,1.37993
-1039.9597,3,1.424918
-2312.2866,10,1.441401
-1522.2338,9,1.441504
-1644.1353,5,1.460489
-1363.8647,8,1.460575
33.631287,41,1.460591
-832.07776,18,1.460597
-1030.7551,3,1.491041
-593.0689,31,1.491124
-644.71094,20,1.491144
109.35382,29,1.521317
-2158.3132,4,1.521398
-827.21155,5,1.521417
-473.81445,19,1.537039
288.7447,36,1.537124
-1001.9354,7,1.564093
-921.0327,8,1.57926
-1304.6277,4,1.599794
-1516.0774,7,1.599884
-1355.5566,16,1.629795
-1288.6721,7,1.629879
-962.1885,8,1.644671
-1349.4275,3,1.644757
-980.46185,5,1.684737
-1501.2635,10,1.684806
-1030.973,4,1.713185
-435.1208,33,1.731688
-881.4479,26,1.73175
-2269.0032,10,1.731765
-578.8158,21,1.764492
-1024.2681,2,1.764546
-858.3899,6,1.792294
-981.34955,3,1.792382
-1215.5142,10,1.806839
-1389.7876,36,1.843782
-1621.8672,9,1.84388
-1030.8019,4,1.864126
-1512.1924,7,1.864181
-265.4124,49,1.864189
-1094.0144,25,1.877739
-593.1749,18,1.891051
-1044.2382,2,1.891132
434.42566,46,1.904796
1282.2067,51,1.904879
-962.2301,4,1.925263
-1507.2886,9,1.925348
-919.5774,6,1.940431
156.45947,36,1.957011
-150.85431,71,1.957089
-1359.2344,25,1.957105
-874.1702,7,1.979343
-1042.8174,2,1.997761
-1297.9402,7,2.028594
-1413.6952,17,2.06037
-772.84796,20,2.060493
1695.752,53,2.13025
-1736.5933,11,2.158372
872.0609,31,2.158446
-1306.9836,10,2.158465
-971.4956,6,2.158472
-1708.4487,15,2.158479
269.82593,70,2.173338
-6085.3135,15,2.173421
410.5121,42,2.187631
-388.54248,15,2.206165
-1025.5787,3,2.206237
-1430.7789,17,2.206253
-1557.2485,21,2.221454
-895.8337,5,2.23592
-1037.5133,2,2.235987
-745.96674,7,2.26726
-833.70605,6,2.289919
-1851.9044,9,2.311701
-1432.1404,5,2.325926
-945.20215,24,2.34098
-1027.2135,2,2.352305
-544.975,30,2.385566
-424.14624,72,2.400043
-143.77795,55,2.400141
-493.3047,31,2.400167
-890.8615,4,2.414507
-1748.7706,36,2.43105
-523.8711,14,2.431134
-1395.1743,18,2.463758
-1362.5994,3,2.463825
-12.798828,17,2.481593
-892.9496,4,2.498027
-2762.1414,14,2.498115
-1034.2147,3,2.527223
-2807.0945,23,2.541851
-1280.7716,7,2.575572
-185.64233,32,2.57562
-946.5278,7,2.575629
-1044.2256,2,2.610862
-861.76685,14,2.626549
-1445.1858,3,2.626598
-1069.9058,4,2.640624
215.13129,23,2.659218
-662.1847,16,2.659305
-971.9334,10,2.659324
-659.1333,18,2.698217
-1275.2214,12,2.698296
-1074.4615,9,2.698309
3177.3467,64,2.714729
-1654.5837,6,2.732078
-790.64624,18,2.732129
-982.63586,5,2.747009
-1251.2834,23,2.761332
-1043.465,38,2.778008
1832.2579,61,2.796279
-309.4118,40,2.796368
-874.1014,5,2.810042
-1882.7053,6,2.825897
-1543.2919,11,2.844943
-857.40607,6,2.84503
