#{"t_start": 1763713037.7761369, "env_id": "None"}
r,l,t
-1101.5343,2,0.764377
-1063.4717,3,0.780844
-1006.0429,3,0.78094
-1131.4738,3,0.780957
-1008.5125,3,0.780962
-926.8711,4,0.793623
-1061.0092,4,0.793677
-1559.8582,6,0.830579
-736.26416,6,0.830631
-1067.8802,3,0.830641
-1383.4951,7,0.845819
-2335.8474,8,0.860355
-1108.2456,5,0.860474
-1991.3651,11,0.907409
-833.4248,5,0.907488
-862.3737,4,0.929231
-1709.4269,12,0.929287
-970.5028,6,0.943059
-1161.6002,9,0.943101
-1027.273,2,0.971516
-1004.57184,2,0.98672
-2278.9697,11,0.986811
-1101.1569,4,0.986829
-1637.411,12,0.986837
-1489.6177,4,1.000122
-1056.6919,2,1.017095
-1045.471,17,1.01717
-1032.0894,5,1.055814
-1747.394,20,1.080135
-1088.2893,5,1.080211
-1808.0415,11,1.119543
-1185.5388,4,1.13726
-911.8684,4,1.150753
-3730.1284,8,1.167937
-1037.2433,2,1.185075
-1465.9729,27,1.198439
-1682.9539,14,1.198504
101.06909,27,1.228973
-1608.5571,15,1.252111
-3246.5295,27,1.25216
-1138.4045,3,1.252171
-1215.5831,9,1.271563
-1917.294,7,1.286898
-547.3099,16,1.286939
-2483.5488,32,1.28695
-2898.685,25,1.313614
-1138.9373,7,1.346541
151.39087,35,1.362141
-401.15686,16,1.376716
-1372.2676,4,1.409187
-2190.4333,7,1.437967
-2126.2573,9,1.438027
-1587.7687,5,1.48372
-2902.941,19,1.508067
-873.6153,4,1.508107
-1269.7972,12,1.534118
-1521.4647,10,1.548177
-2614.3906,19,1.548279
-1657.1721,47,1.583817
-1192.5593,18,1.5839
-1212.9401,41,1.583917
-1814.2128,48,1.603018
-822.5386,32,1.619235
-1250.7496,4,1.648451
-1954.9744,22,1.665118
-1444.067,7,1.665529
-717.50037,20,1.691525
-1603.7838,5,1.70932
-1934.8804,15,1.70939
-1095.7393,4,1.722787
106.02838,49,1.722874
-1125.9215,8,1.738658
-1092.4163,3,1.754426
-1188.6204,16,1.76745
-1047.9949,6,1.767758
-1698.7148,5,1.78378
-953.7395,5,1.804969
2982.2173,60,1.805055
-999.7589,46,1.819447
-1401.9398,9,1.819534
-1163.383,6,1.819552
-3314.9365,62,1.837903
-1011.23505,2,1.838039
-3949.8506,19,1.853222
-1137.2975,3,1.86895
-1019.16406,4,1.869035
-3232.9146,34,1.869052
-4988.492,26,1.91228
-1096.0336,10,1.912376
-1374.6296,5,1.912396
638.75586,67,1.912403
-1066.8162,4,1.927659
117.45166,36,1.927726
-424.39178,26,1.927741
-1078.3029,2,1.944986
-1020.5638,2,1.945084
-827.9613,11,1.945126
-1450.6857,9,1.983604
-1037.4375,2,1.98369
-2255.6948,27,2.004897
-1218.5338,8,2.004982
-1057.9907,5,2.004997
563.57245,27,2.035881
-955.87915,3,2.035976
-1076.0895,3,2.059521
-1395.802,4,2.059572
734.70593,44,2.059584
-1875.198,7,2.059592
-1265.4207,76,2.085533
-1099.259,5,2.106871
-946.2613,5,2.145939
-1401.8579,3,2.146042
-903.5635,4,2.146059
-1039.4199,2,2.146064
-885.7383,40,2.146069
-1509.1869,7,2.185597
-964.32556,14,2.206001
-680.4334,24,2.206053
-1036.0068,37,2.233806
-2771.76,20,2.233886
-1713.406,17,2.280222
-1069.9789,12,2.304199
-917.32526,4,2.304266
-293.61127,28,2.334838
-3533.1897,21,2.334906
-1971.2,11,2.35103
-1020.6984,2,2.370115
-57.54181,26,2.404772
-112.066895,27,2.440898
-1163.5872,17,2.459703
-2576.293,13,2.487195
-2094.3328,8,2.487269
-479.03772,18,2.487287
-687.7069,11,2.487294
-1173.5779,6,2.4873
720.75073,40,2.505687
-2222.8257,23,2.505753
-1059.2991,2,2.524062
-1489.4016,4,2.549404
-1744.2887,4,2.572303
-1358.727,19,2.594464
-929.3457,45,2.666718
-1080.6382,21,2.666829
-967.61597,30,2.691342
-1270.0923,15,2.719659
-1140.7244,3,2.719729
-2919.611,15,2.76036
-2655.341,5,2.785597
-2189.0273,4,2.806505
-1135.8322,12,2.806582
-1267.7571,5,2.819966
-1201.6111,20,2.843198
-3735.7327,56,2.843276
2053.8232,65,2.864688
-1047.8698,5,2.899811
-2070.404,33,2.95003
841.75806,52,2.967082
-1016.8197,27,2.967138
-2200.4956,26,2.991385
98.45618,43,2.991474
-1083.9803,3,3.014095
-766.29144,26,3.039215
-1403.7649,9,3.039287
-1076.9828,2,3.039303
-1085.2234,2,3.057107
240.42108,35,3.057189
-1047.8301,2,3.092008
-1115.0082,6,3.110864
-1023.2305,2,3.110934
-966.10693,3,3.127294
-1703.4613,5,3.158121
-1177.4961,17,3.158181
-1510.3911,39,3.190032
