#{"t_start": 1763711140.0213337, "env_id": "None"}
r,l,t
331.75394,2,0.706276
268.395,2,0.706394
221.73856,3,0.719221
185.85458,3,0.719264
291.58405,3,0.719274
388.84204,3,0.719282
839.6918,5,0.730314
269.381,5,0.730372
289.1609,2,0.730387
982.46606,6,0.741439
15.982849,6,0.741607
240.70152,2,0.744834
812.9636,8,0.747681
1373.5529,7,0.754721
499.56116,9,0.754805
906.9186,6,0.754822
514.3306,11,0.772108
-142.51077,6,0.772427
1681.5762,12,0.784627
1614.7721,12,0.784711
541.5023,12,0.784745
218.96227,2,0.798488
-163.47623,6,0.802819
1606.6841,15,0.807663
386.46448,10,0.807734
572.52966,3,0.807753
48.57007,6,0.821984
195.58176,2,0.822057
2093.9233,14,0.822074
1073.7711,4,0.840582
1536.4761,20,0.845326
3196.4458,19,0.849991
2880.4485,14,0.85005
1542.4802,19,0.862543
4326.3584,17,0.867571
512.4804,6,0.867655
460.1955,5,0.873128
571.6075,16,0.877754
364.25235,9,0.8886
3584.4067,27,0.893392
219.35341,5,0.90225
859.9636,16,0.913146
777.5919,17,0.913213
197.82184,9,0.917996
691.06793,24,0.918045
149.20367,9,0.93306
77.44202,4,0.945301
4275.893,34,0.965369
337.1637,2,0.965442
665.7636,3,0.977289
1695.9999,8,0.977346
1870.3157,29,0.980055
2507.1553,31,0.998294
1348.8065,12,1.005045
863.3717,21,1.005099
6514.0776,47,1.046244
354.04327,21,1.0463
31.854492,6,1.05291
586.32263,19,1.056776
6709.545,34,1.056842
4152.1636,24,1.05686
8288.176,37,1.075043
1401.6443,12,1.081181
295.8662,3,1.081289
11761.75,53,1.09092
1344.284,16,1.091004
1598.1437,24,1.09102
394.78595,16,1.097768
589.6189,4,1.101586
1261.8385,5,1.113755
3776.734,40,1.113824
2374.387,13,1.134426
5585.1987,37,1.141732
5361.314,49,1.141799
476.93643,10,1.145258
3341.847,15,1.15496
603.2406,10,1.168433
6541.379,43,1.177036
805.2331,13,1.177103
342.8706,2,1.184656
1796.7925,68,1.184721
2496.7046,13,1.199484
1602.394,29,1.207635
1307.8821,12,1.214949
330.55313,4,1.227795
1726.5615,43,1.227872
2091.5925,11,1.22789
4412.8735,22,1.238441
4147.066,39,1.246863
3735.166,27,1.246923
492.18158,6,1.250385
151.15622,9,1.250446
225.00378,2,1.25427
2389.8743,25,1.260794
474.8739,2,1.26085
1146.612,5,1.268429
-285.16006,19,1.268478
3327.239,32,1.26849
58.38498,2,1.282206
10173.791,63,1.282504
99.92816,3,1.293675
945.352,9,1.293752
9993.269,50,1.293766
1703.9824,12,1.310655
-358.90616,5,1.310722
402.982,2,1.310739
-74.971466,3,1.313904
1057.6124,14,1.313954
1621.6709,11,1.317344
5063.883,61,1.317392
1910.7825,14,1.317407
591.4933,3,1.322532
1458.4569,6,1.328905
2545.6775,31,1.329003
1710.8184,13,1.329017
118.13522,6,1.3379
621.26843,10,1.33797
305.677,6,1.344283
1365.5739,9,1.348504
1000.1434,8,1.358539
-317.81747,3,1.358607
56.471725,5,1.362634
289.5485,3,1.362667
299.36584,2,1.371107
2003.6881,9,1.374928
500.41022,3,1.37501
2821.1716,14,1.387421
5455.2188,54,1.394605
683.394,4,1.414453
1960.4016,24,1.4145
1763.5938,25,1.41451
-418.8626,2,1.414516
4888.388,39,1.419432
4342.8335,15,1.435219
2330.0107,41,1.435296
8563.742,107,1.435313
10333.596,52,1.44242
-116.358765,3,1.446381
177.50897,9,1.453769
307.11487,6,1.460214
2135.2925,39,1.460302
2466.2065,14,1.479484
1208.0613,19,1.485622
3273.44,21,1.485669
508.74408,8,1.49282
635.7238,4,1.492868
4255.3945,30,1.510491
448.41083,5,1.51522
4978.5386,38,1.515274
1093.0979,8,1.518831
1748.7874,34,1.518882
7793.3086,68,1.523409
2439.0203,36,1.523489
766.12054,4,1.539992
-340.36517,27,1.543033
783.9219,5,1.546031
2425.8755,79,1.546078
201.2849,5,1.548615
10201.706,66,1.559988
10645.383,52,1.565658
2377.038,13,1.572951
594.0195,5,1.587063
998.0985,8,1.598392
1999.2676,34,1.611292
396.54712,3,1.611362
895.55475,5,1.61138
4252.8955,46,1.617737
166.25497,3,1.622027
363.3849,12,1.6253
2891.0667,17,1.62535
5868.9746,36,1.639748
8075.46,49,1.639789
242.33035,3,1.643959
9093.829,45,1.662729
1094.7789,9,1.666295
515.6558,4,1.671816
966.7728,9,1.67186
736.7826,4,1.671871
677.38214,10,1.677571
2373.35,21,1.681311
1323.0117,9,1.700415
525.62616,7,1.70048
683.14655,3,1.700494
764.0098,6,1.719287
2283.002,43,1.719351
980.0389,7,1.729969
1100.5504,6,1.73283
517.51263,29,1.735793
2603.9749,47,1.73584
519.6582,3,1.754942
1850.3389,12,1.789048
5722.496,68,1.803214
1401.685,5,1.803283
4015.8616,58,1.803301
1692.3982,13,1.803309
3763.945,19,1.808517
4256.741,20,1.808585
201.31837,2,1.812503
10021.512,50,1.812568
9259.127,44,1.815871
184.64685,4,1.824067
8959.009,45,1.83637
2987.4307,16,1.84958
15.934906,2,1.849631
922.6464,5,1.864522
2526.3237,53,1.864591
1226.6316,6,1.882738
2595.5432,14,1.917981
1476.709,26,1.918039
1615.259,31,1.920797
134.12173,5,1.951549
11441.494,56,1.96403
6151.407,44,1.969537
1165.8395,9,1.969602
4716.1616,21,1.969618
2338.4753,37,1.994934
877.6409,8,1.998165
13685.544,93,2.003135
23.82193,3,2.012619
224.1647,9,2.017797
2341.5464,24,2.017838
4248.108,32,2.031642
761.7236,4,2.04715
273.555,4,2.054176
1056.0122,11,2.059264
2690.171,15,2.059326
2888.1143,124,2.085126
2833.0183,51,2.090932
2552.2224,14,2.093943
2186.9412,42,2.093981
5626.828,55,2.096594
547.38763,2,2.099456
2179.821,40,2.111739
6101.159,43,2.111816
494.6177,4,2.120307
199.9976,2,2.120377
708.63464,43,2.120394
1900.0249,11,2.120401
196.90471,2,2.137789
1934.5826,37,2.137849
3891.4956,17,2.14635
920.36914,10,2.146393
1279.8655,6,2.149453
2300.32,49,2.152815
-18.692017,7,2.16598
298.87506,17,2.173959
-41.194183,6,2.180358
5446.1577,54,2.192862
990.62256,16,2.192924
309.11984,2,2.196941
4262.0054,42,2.196991
1004.85913,15,2.197005
1997.0154,24,2.200542
715.4187,7,2.200587
6331.598,92,2.200598
72.03433,2,2.203326
2607.5042,21,2.2084
1970.8413,36,2.211452
5341.769,93,2.227416
470.1776,5,2.227491
9788.85,34,2.244271
5555.6123,38,2.258578
1156.931,6,2.258644
-96.12668,43,2.264476
712.39624,11,2.267662
-62.50995,3,2.267713
1746.7078,23,2.27118
150.57275,15,2.276543
711.3081,8,2.276612
385.13452,4,2.283243
38.13214,4,2.299158
687.9674,3,2.299237
1324.2133,10,2.307373
620.511,7,2.31083
2309.6162,35,2.325922
1145.768,30,2.325997
271.46698,9,2.34702
4402.503,32,2.347124
979.18365,5,2.347155
11455.322,80,2.351533
-117.986694,4,2.3516
811.19226,6,2.356604
1066.846,5,2.368408
1604.1973,12,2.368497
1113.5054,5,2.372234
4076.4824,29,2.372318
1622.6558,20,2.372338
1045.3618,31,2.375867
-6.8072815,3,2.383416
3357.4258,29,2.389043
4098.669,37,2.389113
-101.62576,5,2.392469
423.37372,12,2.397687
743.7079,3,2.401557
1394.1436,8,2.415309
5384.1504,36,2.436879
4107.0503,23,2.436986
1944.4991,37,2.437014
496.982,6,2.450046
371.57755,2,2.450109
776.28845,8,2.453906
894.77704,7,2.482919
235.54901,4,2.482977
133.92783,4,2.486065
3670.9995,20,2.489045
621.3395,3,2.498796
742.35944,22,2.498877
1200.5486,19,2.518292
-138.5434,5,2.521492
645.8352,6,2.521568
-251.50333,2,2.547581
7816.2993,115,2.54765
253.35721,5,2.571344
13655.448,54,2.571406
5708.9165,48,2.57142
1316.5381,16,2.5888
1960.3405,17,2.58887
372.84106,5,2.588885
4429.064,129,2.615423
1520.2932,42,2.615512
1993.6145,44,2.615531
-237.60593,7,2.618859
267.60715,4,2.618888
393.93195,17,2.618896
954.4774,15,2.627425
221.56076,5,2.650337
3770.8079,37,2.655971
2362.446,13,2.656015
705.36194,7,2.656028
920.54224,11,2.656033
-36.5177,2,2.674456
4155.4287,33,2.67454
835.67645,5,2.678969
385.36618,3,2.67901
1183.2455,13,2.67902
4487.1123,40,2.679026
461.25995,11,2.688995
7094.756,82,2.689131
14008.116,111,2.701418
540.0847,2,2.701506
483.8675,6,2.71833
394.69113,2,2.72139
343.4081,3,2.736412
1180.959,7,2.758886
4752.162,24,2.792028
253.9722,6,2.806046
8581.793,47,2.830769
1229.7488,13,2.830817
6931.848,58,2.830827
1108.9188,5,2.8607
293.30984,2,2.860777
2724.4163,17,2.860802
1362.8484,48,2.864085
349.79318,4,2.867059
270.3099,3,2.883667
1008.2445,6,2.896897
461.7446,2,2.896999
1850.0367,23,2.910671
1545.0935,9,2.950258
2143.2415,23,2.980914
4011.3364,31,3.000476
6126.7007,46,3.003825
75.29297,2,3.009246
1038.2146,34,3.009296
5782.2114,43,3.009311
2122.48,14,3.012358
13798.741,49,3.012397
4217.6455,16,3.016341
638.23486,2,3.016403
2345.703,66,3.039423
3516.5583,29,3.042307
-124.02597,5,3.045146
737.18695,3,3.049236
1660.7441,8,3.049315
669.3126,7,3.049332
785.73975,38,3.056004
2271.4849,25,3.05608
6134.292,52,3.059394
514.2246,3,3.06321
2039.2437,52,3.063282
11203.695,55,3.084925
-15.284363,4,3.084969
395.65588,8,3.105054
700.64355,21,3.105158
435.07855,3,3.160698
304.61493,5,3.163103
9479.45,48,3.163206
13101.876,54,3.226575
473.81778,2,3.228995
562.0502,4,3.229095
44.031097,3,3.290385
776.1515,6,3.290743
1540.1758,18,3.350156
1827.815,103,3.389741
2419.9211,14,3.389829
1171.2808,12,3.429199
170.35408,36,3.47636
3365.693,23,3.526398
62.151733,15,3.53059
2076.1938,12,3.582418
808.99347,4,3.58676
464.01837,7,3.587075
552.14435,5,3.632518
2686.5874,24,3.632578
-255.09566,3,3.677765
664.3115,5,3.679162
107.69693,3,3.679199
485.52707,3,3.70195
746.7736,5,3.704534
1109.7606,8,3.746372
-106.229706,2,3.746412
10423.166,47,3.770458
4799.604,66,3.770568
1473.7655,9,3.796471
-524.332,4,3.800046
2970.8281,40,3.810611
617.2328,9,3.831184
377.52396,3,3.848465
11373.481,51,3.848541
1842.5898,17,3.871988
1824.6627,27,3.892595
1108.5085,15,3.892668
2053.85,28,3.895869
1873.2871,14,3.895911
4358.6235,39,3.898701
6266.9224,39,3.901638
356.06592,12,3.901681
1811.3306,17,3.923378
7743.633,37,3.934571
1662.5309,32,3.934633
820.1008,5,3.934649
3519.6924,37,3.952236
475.90988,8,3.952285
364.80768,4,3.95551
1150.8602,6,3.962662
747.7306,9,3.979219
1549.3044,35,3.984173
2408.112,47,3.989156
5087.7124,37,4.008266
941.31116,60,4.0114
1199.8777,6,4.014326
219.84698,13,4.032151
2895.1245,18,4.032228
49.246277,4,4.037973
297.7246,3,4.052986
521.4097,3,4.05961
1901.8937,19,4.059664
330.48972,10,4.064981
1180.4657,14,4.067977
10913.641,138,4.081256
493.9563,5,4.081318
1337.93,36,4.085161
828.13367,4,4.085213
2042.1417,54,4.085227
533.84094,4,4.087916
1839.1892,17,4.098861
276.8142,3,4.111771
-401.04797,2,4.123913
13000.556,56,4.248253
919.15704,5,4.261628
1331.5264,33,4.261692
665.0177,9,4.261708
2923.0432,24,4.261714
2525.435,12,4.277304
1160.5433,18,4.277361
1161.9231,50,4.283162
341.8121,37,4.286163
8717.171,95,4.286205
9480.554,57,4.288862
3029.9224,26,4.301744
8545.642,60,4.305549
3881.4854,54,4.305603
954.4251,11,4.305617
8132.4336,61,4.305624
396.22647,7,4.310867
1888.2756,24,4.316091
241.11768,2,4.316198
2113.395,24,4.32859
226.27267,6,4.334288
1395.0046,12,4.349928
777.208,3,4.353104
243.08482,4,4.353153
1755.1787,39,4.353167
3954.1577,25,4.377169
989.15753,6,4.377216
271.0996,3,4.395349
4223.396,28,4.395403
2576.7905,14,4.400518
4400.493,26,4.404139
4277.4478,26,4.404182
372.02072,2,4.434168
4408.0835,20,4.434266
97.78595,3,4.434288
9458.103,75,4.456499
54.72693,37,4.460175
6506.8433,42,4.465975
1500.6548,10,4.466029
5384.9644,78,4.469535
622.58307,6,4.469595
542.9867,4,4.46961
-92.356995,6,4.472647
1480.9736,27,4.472718
243.08882,2,4.490357
720.999,12,4.502503
3148.87,36,4.508834
3164.1577,26,4.517541
11328.422,40,4.527651
200.99847,4,4.537073
1197.521,16,4.547968
1909.2048,34,4.548051
193.92047,4,4.552308
-554.4529,21,4.569806
3228.6074,17,4.569922
10825.371,41,4.569953
558.7412,4,4.58939
1481.9421,18,4.593512
288.12073,2,4.597447
7530.6416,44,4.597513
3811.268,21,4.615545
2013.5564,39,4.628988
845.6452,5,4.632743
636.15393,4,4.632807
1702.5715,9,4.63578
1546.6355,42,4.650764
1308.004,10,4.650901
578.0649,12,4.658744
-59.699306,3,4.658796
1252.0648,17,4.661535
2396.5747,16,4.681449
51.138306,5,4.684562
2017.8534,9,4.689419
226.4765,3,4.689489
724.0055,4,4.689505
603.212,3,4.706637
9837.873,119,4.712773
-38.844788,35,4.712818
720.93365,7,4.715448
2103.8286,25,4.718636
8924.674,76,4.718676
781.7918,7,4.721266
1988.0425,14,4.73867
2050.611,41,4.738763
621.73706,19,4.746699
444.55984,8,4.751857
-574.20166,15,4.763512
10510.631,54,4.76357
473.7318,2,4.763581
558.1678,5,4.773725
1080.7194,8,4.773806
143.63387,2,4.787152
7518.3765,147,4.807595
1161.2184,5,4.822135
1777.1259,14,4.834414
794.7469,54,4.834491
6283.6143,24,4.834536
5890.8887,56,4.834544
-314.99084,2,4.851661
7374.311,39,4.851743
12990.662,66,4.855285
1897.936,22,4.855336
717.11346,9,4.855352
33.872437,4,4.864945
671.6741,9,4.86501
12855.751,55,4.879929
1620.0833,25,4.879998
-66.53406,5,4.883247
540.2649,6,4.883311
209.68604,44,4.886374
9860.968,41,4.901439
6706.73,28,4.905031
642.4782,56,4.915872
2643.7366,20,4.934965
373.69055,3,4.935028
477.99124,5,4.935045
637.13055,10,4.93505
497.19342,2,4.958979
710.10364,13,4.968029
-189.5586,4,4.98547
814.2961,14,4.985525
3703.433,23,4.985538
5753.4873,113,4.997997
1800.215,21,4.998078
31.927368,8,5.003444
1152.785,5,5.027308
-87.301956,2,5.045293
1775.4601,8,5.070538
1317.0385,9,5.091768
6334.817,29,5.09508
2891.39,26,5.095136
2056.1416,30,5.097811
353.04633,2,5.102648
3374.2202,31,5.118747
1084.8124,9,5.118818
12485.128,55,5.122746
2243.725,36,5.122796
-127.54379,3,5.130633
894.3318,15,5.130687
1728.2603,10,5.143181
583.2509,2,5.143257
556.74304,3,5.162796
1061.9574,10,5.166129
1128.8052,5,5.171906
550.84607,3,5.171947
3036.9797,42,5.195309
295.97974,7,5.199307
164.06201,3,5.19937
2441.688,40,5.199386
-318.83643,3,5.22066
9677.537,46,5.220776
481.48337,3,5.223845
6145.0923,74,5.250068
955.3695,5,5.250122
3403.7588,20,5.253211
1868.0608,31,5.253252
4739.5234,31,5.263553
2076.6406,17,5.263633
1483.8203,11,5.267019
408.7093,2,5.27009
765.90155,16,5.270129
75.21826,7,5.273131
1108.5884,8,5.273171
675.19525,5,5.290352
2183.7766,74,5.290416
1355.9874,17,5.293712
175.84602,2,5.296977
701.6332,8,5.297021
396.35483,3,5.300265
2378.3171,12,5.300305
765.0821,4,5.300318
880.057,5,5.303285
3953.9888,40,5.303323
331.50687,10,5.30637
513.97125,2,5.306396
2045.565,54,5.306404
625.511,6,5.335265
3357.0142,27,5.335336
626.16754,15,5.348553
2197.8838,13,5.348637
-308.32306,5,5.369268
6190.247,73,5.369391
1697.3999,13,5.372607
1085.5947,10,5.393615
708.5358,7,5.393739
755.17065,8,5.393761
3885.6333,16,5.397259
-1.919281,6,5.40039
2413.9724,13,5.400442
365.70862,5,5.403592
183.4473,4,5.403641
78.61931,2,5.40634
11173.5625,63,5.421298
460.79962,2,5.421357
275.0562,5,5.421372
1617.8894,12,5.421379
-266.00153,2,5.421395
1128.6152,12,5.448753
608.1089,3,5.448832
848.0499,8,5.44885
584.17377,10,5.467783
694.2985,7,5.467855
319.62598,7,5.470801
882.2997,16,5.473861
1921.398,21,5.473914
1811.1624,9,5.47683
546.4688,2,5.479728
5097.2554,39,5.490767
143.17667,3,5.496261
1075.8098,9,5.496326
944.67816,9,5.496341
3261.861,19,5.514899
1737.5944,9,5.526141
751.6654,9,5.526181
820.4183,3,5.526191
824.6034,3,5.546406
576.3633,5,5.546472
1412.4688,7,5.54964
3862.449,57,5.552524
529.9829,34,5.564475
1920.9464,18,5.567948
1334.3411,4,5.568002
-118.454895,3,5.574604
225.51447,5,5.577785
5889.846,43,5.577842
1359.4722,11,5.59461
0.79400635,4,5.600256
1470.6437,15,5.606403
-440.8507,9,5.606468
3855.8645,30,5.606483
629.1855,3,5.612308
14059.49,74,5.61698
2113.9648,15,5.624768
4124.6143,42,5.636189
367.71777,4,5.636246
12276.357,99,5.671836
1849.5503,145,5.671908
7833.034,43,5.671922
1792.6333,40,5.671928
1294.0173,11,5.686822
-762.71643,20,5.686862
3768.5117,34,5.698781
650.4412,11,5.70204
10955.787,51,5.704896
4934.799,38,5.707684
487.55676,3,5.710782
865.5693,6,5.710832
329.74387,6,5.714086
484.64856,6,5.71414
-112.41321,3,5.717495
72.820145,2,5.717546
707.6218,19,5.731374
944.02423,3,5.734865
4323.195,41,5.747144
252.79631,3,5.767153
2273.5288,14,5.767209
8288.164,41,5.772181
306.7498,3,5.782475
2519.312,27,5.787997
371.17096,2,5.788068
3091.9316,14,5.804177
403.65137,8,5.826102
1097.9282,30,5.828979
1685.2482,15,5.831678
6768.493,42,5.834391
4540.338,82,5.855953
386.52502,4,5.856011
382.34827,10,5.856026
606.4198,4,5.858988
2330.981,10,5.861729
532.062,32,5.866807
7431.3228,26,5.870866
232.51224,3,5.870934
2276.3232,13,5.887068
3889.147,64,5.890268
1737.7799,18,5.890314
292.6197,6,5.895304
1815.1593,22,5.897897
620.97375,54,5.900973
1940.9612,12,5.901006
3271.9375,140,5.91063
5306.4385,64,5.910714
1050.9026,14,5.928849
4437.946,35,5.934019
8829.132,42,5.937214
-214.65036,3,5.937258
2212.7546,12,5.940202
1485.1155,16,5.940228
1401.2305,40,5.964705
1553.2157,18,5.981918
861.02765,7,5.985861
5155.292,69,5.994383
686.4774,13,5.994426
1007.2646,11,6.000865
992.0404,5,6.014183
1797.0487,16,6.014224
375.97595,8,6.014233
2243.3857,13,6.026379
4363.1704,20,6.049539
1407.7466,24,6.052673
1049.816,9,6.056718
