#{"t_start": 1763751735.3482301, "env_id": "None"}
r,l,t
-1027.1791,2,0.926679
-1025.2759,2,0.926871
-1032.6996,2,0.926953
-991.78906,3,0.992405
-987.0817,3,0.992609
-1085.0907,3,0.992683
-2379.5974,4,1.029161
-1410.7731,5,1.065234
-1014.34033,2,1.065393
-1524.246,5,1.065472
-1014.9408,5,1.065543
-955.86145,7,1.13485
-1148.285,5,1.135181
-623.9171,7,1.135284
-1135.3483,8,1.171491
-1121.9602,4,1.217195
-1879.9539,9,1.217361
-1313.79,4,1.217455
-1078.777,8,1.256036
-1075.5333,3,1.2561
-1905.5183,10,1.256115
-880.67957,6,1.286566
-946.9994,11,1.286793
-1372.742,11,1.286873
-1237.6697,9,1.328548
-1961.3347,4,1.360381
-1580.8506,13,1.360466
-986.07465,4,1.388677
-1024.7931,4,1.388774
-1567.9641,10,1.424387
-739.9006,13,1.424561
-1914.2446,7,1.461203
-1214.7494,5,1.461351
-512.103,16,1.461427
-1009.7051,3,1.461497
-1485.0294,6,1.461566
-1907.5315,10,1.49551
-1198.5725,10,1.511735
-1051.4728,3,1.524153
-894.09106,21,1.55297
-918.6553,7,1.572552
-1414.8098,4,1.572783
-1312.9111,7,1.572805
-1179.2561,7,1.588102
-1588.551,14,1.588195
-961.02527,9,1.588223
-964.58746,7,1.588233
-1028.6259,2,1.60344
-1770.1902,20,1.603494
-1240.2334,4,1.640563
-1269.6078,13,1.665737
-575.12604,18,1.684536
-1870.6757,11,1.684611
47.48175,31,1.70833
-1532.1753,10,1.723178
-1010.34564,5,1.723265
-1504.679,33,1.736802
-890.55945,18,1.750678
-2488.373,13,1.786025
-1676.95,14,1.816957
-1671.5085,5,1.830431
-725.35504,17,1.847675
-850.4789,11,1.848014
-1040.2748,2,1.882679
-925.1694,32,1.903516
-1090.9948,14,1.918389
-771.78345,7,1.930021
-949.97,6,1.94904
-1381.135,5,1.964124
-1440.5698,14,1.964186
-1122.1556,16,1.964201
23.217896,41,1.996398
-1496.0302,35,1.996462
-1954.7228,9,1.996477
-1787.2307,19,2.050549
-1399.575,48,2.050833
-971.6007,3,2.050862
-1015.69556,3,2.050869
-906.4998,6,2.050874
-1061.9127,3,2.126214
-1031.148,3,2.126274
-809.2055,56,2.164538
-1651.6097,10,2.164635
-1478.8839,10,2.201176
627.4604,41,2.228284
-989.1599,3,2.243673
-1963.3406,9,2.259093
-2436.5288,16,2.259149
-904.24585,6,2.259164
-1234.2465,3,2.28117
-1351.1924,9,2.356288
-1204.184,14,2.356368
-1223.8269,7,2.390186
-1421.1068,10,2.445681
511.46863,58,2.445823
-1561.0541,5,2.463311
-309.44708,23,2.463367
-1029.7646,2,2.487178
-2356.2725,12,2.501142
-304.8457,21,2.501219
575.83075,41,2.516111
-312.0539,45,2.554517
699.5446,51,2.554621
-2779.8164,15,2.581587
2187.152,62,2.581952
-720.605,7,2.602554
3008.0278,56,2.60265
429.13776,30,2.602669
-318.60742,21,2.624434
-279.20795,79,2.655374
-218.20154,31,2.655464
-1034.552,2,2.715256
1485.3297,60,2.747727
-1286.5938,7,2.747824
-918.0501,10,2.747845
-2146.8022,12,2.776858
-611.77563,8,2.853567
-541.6343,15,2.909594
-2250.589,23,2.943388
-1641.812,12,2.94345
1396.2141,65,2.943466
-1108.3301,7,2.943474
191.92255,46,2.973917
-1366.9154,7,2.974005
-1753.1621,7,2.974023
-1547.0468,15,2.995083
-1576.8993,14,3.009143
24.394836,31,3.00922
-1699.9963,12,3.009238
-1172.2805,16,3.034301
-1048.0084,3,3.034376
-2952.6277,6,3.049485
-667.8256,16,3.049529
-1372.2524,11,3.049539
-2063.919,27,3.049547
-688.645,59,3.063443
-1502.9252,7,3.07774
-1057.5253,8,3.077829
-1701.9556,26,3.077847
-1035.0728,3,3.088792
-963.0067,9,3.101791
-932.1132,4,3.101882
-1162.4719,9,3.127399
-1521.6523,8,3.147709
-1146.771,15,3.168745
-1485.3397,9,3.168825
-2291.4033,13,3.206767
-963.87195,5,3.248564
-1533.7747,6,3.26165
-731.52563,14,3.261722
-1238.755,24,3.276974
-1268.117,23,3.305575
-1154.59,14,3.351645
-260.19672,16,3.351743
-3048.1316,18,3.351759
-973.14417,4,3.37279
-1006.50665,9,3.397952
-1548.1252,22,3.398022
-918.9811,5,3.431068
3326.67,66,3.445861
391.3299,51,3.44595
-999.059,3,3.445969
-2489.693,46,3.487051
-716.82166,27,3.516247
-1581.4363,8,3.51635
-1495.9779,3,3.596048
-1031.1327,3,3.59613
-2316.962,11,3.621431
-1562.343,16,3.655331
-429.161,29,3.655398
-1941.6396,11,3.655427
225.64801,43,3.676929
-831.42224,24,3.676991
-701.9507,15,3.740676
-904.83295,6,3.770044
738.268,40,3.770107
-852.16785,5,3.770131
