#{"t_start": 1763712042.3587961, "env_id": "None"}
r,l,t
153.95926,2,0.980438
90.11413,2,0.980532
39.153732,2,0.980551
107.813675,2,0.980558
2.5193024,3,1.006837
-706.0237,3,1.006893
320.36313,3,1.006908
113.1539,3,1.006914
141.04108,5,1.071367
-145.30637,6,1.095292
223.9758,6,1.095591
119.245575,3,1.095727
404.47134,7,1.114357
194.36404,7,1.114456
370.5484,8,1.137933
-341.7757,6,1.152085
470.89334,10,1.17046
392.2819,5,1.189249
175.59018,8,1.227156
364.82242,14,1.307641
-491.99597,18,1.332974
348.20126,19,1.339028
1374.6807,19,1.376897
-278.36868,9,1.402004
672.244,20,1.402092
-1137.4495,23,1.428697
105.86708,2,1.428924
945.43884,18,1.449397
-210.53442,21,1.449483
636.8841,13,1.449507
109.08365,3,1.474365
465.1329,10,1.509217
977.61005,28,1.542794
137.76218,4,1.543008
-128.55927,23,1.561777
575.4224,23,1.600248
1279.8402,23,1.650152
329.72772,5,1.672601
759.0704,18,1.706806
868.4365,36,1.749969
321.37436,18,1.824972
3246.405,41,1.825053
-976.0094,9,1.852025
692.73175,19,1.853446
290.78226,10,1.879532
-895.43225,4,1.91123
152.13216,5,1.911518
651.08655,18,1.911615
1721.9008,47,1.932052
2031.1914,48,1.952766
2998.0447,49,1.960608
977.5976,21,1.960769
210.96973,18,1.96085
106.090324,13,1.960925
197.34192,3,1.979183
1118.6669,27,1.99989
117.82515,5,1.999966
142.44958,3,2.016798
-990.16565,2,2.038956
-110.27978,5,2.062038
126.346596,2,2.081911
911.4642,11,2.081982
2510.7068,54,2.095945
414.79877,7,2.118185
810.7495,17,2.139905
1437.9891,31,2.139985
-532.30554,17,2.157363
833.2172,14,2.171199
122.93878,11,2.213263
13.460645,2,2.213852
135.2151,8,2.21387
478.81747,13,2.213878
1456.9169,38,2.213885
-331.39496,6,2.21389
242.18427,4,2.269256
-692.12476,4,2.269358
208.82169,9,2.290624
3937.6191,68,2.315719
773.93945,20,2.315872
1513.3008,46,2.315892
371.1164,7,2.337157
-733.2449,12,2.33723
-807.3342,2,2.357629
1052.0771,18,2.357685
-92.292625,8,2.357698
1250.2888,15,2.357703
1315.74,46,2.378258
120.131744,4,2.37834
345.3659,6,2.394279
27.641026,3,2.394343
-100.49011,14,2.421294
172.47934,3,2.421364
143.01242,3,2.439631
223.64827,5,2.4523
96.76308,4,2.474673
565.97925,9,2.489732
302.06018,8,2.48977
-281.7912,7,2.489779
2995.1523,73,2.554295
351.51352,13,2.575845
592.07654,10,2.58744
301.80933,27,2.587854
2202.246,76,2.614677
813.2432,10,2.615057
-156.91989,12,2.615145
4153.2466,65,2.63936
-806.39905,2,2.658807
-902.68286,5,2.678342
124.136116,5,2.711384
4349.1733,50,2.711517
-846.97925,3,2.745382
256.0273,12,2.745584
469.07983,16,2.764251
-756.3552,6,2.785848
185.21399,4,2.820893
737.4861,12,2.838704
-84.24048,7,2.873421
-1153.875,6,2.942096
1864.6232,55,2.9946
-60.660065,13,2.994763
894.25085,20,3.012382
-124.088135,14,3.012568
1371.5914,42,3.054327
220.63339,3,3.054503
3502.2332,55,3.054601
1765.0648,32,3.111679
115.29116,3,3.111715
82.3805,3,3.111722
154.15662,3,3.111726
244.64319,46,3.136766
86.79654,3,3.17708
1434.7977,32,3.207564
-1308.4576,5,3.232696
455.35425,7,3.249017
1173.9158,38,3.265242
166.33012,3,3.26529
158.21014,14,3.290287
758.5482,15,3.290478
1873.6031,43,3.290571
155.49658,40,3.312641
413.0423,11,3.337432
118.70207,2,3.337614
159.35103,7,3.382707
1413.8774,29,3.382761
5988.3433,111,3.382773
607.192,12,3.417034
-1343.2086,6,3.417109
276.21198,3,3.445935
800.6449,10,3.496741
-1015.57336,3,3.497025
955.3816,23,3.497071
2049.0244,42,3.497085
519.21606,7,3.497092
373.96976,4,3.514091
143.68732,3,3.514163
4089.0193,68,3.514178
181.11491,3,3.559805
156.37851,2,3.559893
164.38525,2,3.609114
-235.6472,5,3.634914
1761.1034,37,3.634989
399.46457,7,3.670855
825.1807,15,3.698742
-948.39844,5,3.698838
755.07697,13,3.698855
108.760574,2,3.744694
173.05287,4,3.744754
118.96398,3,3.768424
-0.47546387,4,3.79411
2910.2983,64,3.85131
827.6031,11,3.882812
5265.692,53,3.928576
689.35944,12,3.942527
413.79507,14,3.958898
1184.8759,22,4.002285
1791.8077,40,4.002349
283.65607,12,4.002366
-470.64276,10,4.002372
-335.71216,32,4.022224
42.911514,2,4.052232
138.3865,6,4.052348
42.935978,3,4.067946
128.83624,4,4.102963
-985.14294,2,4.12185
701.72876,28,4.14345
-794.0037,4,4.143519
3056.387,85,4.183668
194.59682,5,4.206147
647.0564,19,4.29286
3290.7104,47,4.310553
347.16925,12,4.310695
718.7255,18,4.326228
276.16907,14,4.326284
2514.8918,66,4.326298
-660.22595,10,4.346405
1335.933,37,4.346477
127.11789,2,4.36709
1650.2603,47,4.368841
-1942.387,13,4.390457
203.00768,4,4.390525
879.245,12,4.39054
61.492363,3,4.415122
-81.52971,4,4.415237
41.941315,2,4.438335
-424.01257,7,4.439264
4015.9087,102,4.471417
133.71732,22,4.498913
77.45939,2,4.521637
4940.5107,52,4.576963
328.83496,9,4.577083
41.395508,6,4.577103
76.743484,2,4.577109
1882.3674,37,4.577115
2482.507,57,4.577121
75.18941,11,4.641123
417.0126,13,4.641211
-42.45098,6,4.641227
1075.3539,19,4.641235
-24.784447,3,4.641241
332.7154,9,4.650831
-200.96902,11,4.663425
1642.3523,32,4.663507
-924.605,3,4.677807
1248.2065,24,4.699489
-34.994473,5,4.711397
148.76193,3,4.711441
425.0942,9,4.73977
539.90173,9,4.739858
-68.21691,6,4.765173
376.28012,7,4.765248
3435.7732,101,4.803461
483.6645,7,4.803548
1656.6422,50,4.828958
-158.2733,7,4.848956
-508.11353,12,4.849064
165.14325,4,4.876853
489.74338,9,4.88751
1053.7239,29,4.887855
76.03338,2,4.904989
353.45078,19,4.905074
220.72118,4,4.905093
964.0825,10,4.9051
121.25214,6,4.905106
114.25218,2,4.929242
853.60205,20,4.929311
-904.41296,2,4.948324
2540.1597,69,4.962677
-923.4949,11,4.96279
187.29614,9,4.982296
104.889854,2,5.001105
154.06937,5,5.02869
-551.77136,8,5.04838
133.7902,8,5.064562
136.5393,2,5.064657
4998.8936,101,5.090517
161.79796,5,5.090636
-467.21625,13,5.090658
303.93594,3,5.111456
-1.6336765,2,5.148317
3388.3958,38,5.148364
263.06067,6,5.148376
1565.5078,35,5.148382
2183.9204,38,5.180345
274.60715,4,5.180391
247.59058,5,5.205166
615.1979,12,5.205268
400.08344,14,5.227363
-979.69666,3,5.227405
677.6926,15,5.250119
197.44968,5,5.27359
436.62985,6,5.291094
-542.4634,8,5.29117
95.34944,7,5.342445
135.51324,9,5.366384
264.67395,6,5.386026
-701.8949,8,5.386122
-192.06639,3,5.437866
379.9774,15,5.437999
819.5761,22,5.452868
419.29175,6,5.465766
234.44948,5,5.488451
-17.36944,2,5.488522
210.36412,10,5.488532
1980.1251,44,5.516832
103.48076,2,5.53771
864.0882,17,5.537782
3687.454,49,5.555945
188.16594,3,5.580201
77.45961,2,5.580242
235.62003,8,5.596909
-973.71155,11,5.617847
187.72278,2,5.651116
768.52637,9,5.664582
4433.332,87,5.664638
-528.0127,12,5.70314
105.79178,3,5.719006
789.2355,25,5.742436
219.58287,9,5.742499
-193.68271,4,5.779298
-143.23268,29,5.779337
-615.8722,9,5.826325
235.33951,6,5.868242
217.1865,6,5.954965
1035.6896,24,5.975198
755.22235,12,6.00436
1330.9487,35,6.004437
3022.4697,63,6.049296
2011.8107,71,6.049367
89.77646,3,6.049389
769.4578,25,6.077662
71.6362,5,6.077712
-352.41968,9,6.119591
686.128,10,6.119636
123.73319,5,6.151588
-701.76807,7,6.151654
1458.5265,54,6.190861
410.87506,4,6.19091
542.60565,18,6.190922
4793.399,65,6.268148
-0.9994726,3,6.26823
1300.1582,25,6.268245
3165.9307,69,6.307325
290.75943,9,6.348714
744.0011,9,6.348918
1117.1198,16,6.395774
-948.48206,2,6.395845
2634.2998,85,6.395861
269.2035,6,6.395868
346.77524,11,6.422698
1504.2185,21,6.437865
3611.3955,48,6.456111
81.022064,2,6.456178
-920.1725,3,6.50164
-344.0835,13,6.501721
4274.1206,50,6.520636
2270.925,57,6.520681
1672.286,42,6.520691
5374.3237,69,6.56608
694.3807,20,6.58437
49.83053,3,6.584415
2709.2205,43,6.607022
628.9542,50,6.627616
672.9037,13,6.627657
5670.402,113,6.649769
698.6048,10,6.649849
-966.333,17,6.72508
369.28836,5,6.725135
-28.041586,2,6.76028
476.0562,9,6.760334
938.5258,22,6.79057
2862.4504,38,6.790617
4231.2695,105,6.82349
31.426266,2,6.823719
-624.78973,14,6.847589
105.710556,9,6.847829
394.02255,12,6.93839
277.83884,6,6.938713
12.11384,5,6.97143
1146.1654,27,7.136861
401.20743,5,7.136922
858.56976,23,7.13693
318.2291,11,7.182132
688.41736,20,7.182323
148.77847,2,7.223566
268.10678,7,7.223781
-10.0001335,2,7.223891
2050.6958,37,7.276609
135.9642,3,7.302448
127.640686,2,7.302496
4852.594,78,7.311054
815.63745,18,7.311683
3231.9417,36,7.326555
