lon,lat,pga
-81.15,38.45,0.1
-81.10000000000001,38.45,0.1
-81.05000000000001,38.45,0.1
-81.00000000000001,38.45,0.1
-80.95000000000002,38.45,0.1
-80.90000000000002,38.45,0.1
-80.85000000000002,38.45,0.1
-81.15,38.400000000000006,0.1
-81.10000000000001,38.400000000000006,0.1
-81.05000000000001,38.400000000000006,0.1
-81.00000000000001,38.400000000000006,0.1
-80.95000000000002,38.400000000000006,0.1
-80.90000000000002,38.400000000000006,0.1
-80.85000000000002,38.400000000000006,0.1
-81.15,38.35000000000001,0.1
-81.10000000000001,38.35000000000001,0.1
-81.05000000000001,38.35000000000001,0.1
-81.00000000000001,38.35000000000001,0.1
-80.95000000000002,38.35000000000001,0.1
-80.90000000000002,38.35000000000001,0.1
-80.85000000000002,38.35000000000001,0.1
-81.15,38.30000000000001,0.1
-81.10000000000001,38.30000000000001,0.1
-81.05000000000001,38.30000000000001,0.1
-81.00000000000001,38.30000000000001,0.1
-80.95000000000002,38.30000000000001,0.1
-80.90000000000002,38.30000000000001,0.1
-80.85000000000002,38.30000000000001,0.1
-81.15,38.250000000000014,0.1
-81.10000000000001,38.250000000000014,0.1
-81.05000000000001,38.250000000000014,0.1
-81.00000000000001,38.250000000000014,0.1
-80.95000000000002,38.250000000000014,0.1
-80.90000000000002,38.250000000000014,0.1
-80.85000000000002,38.250000000000014,0.1
-81.15,38.20000000000002,0.1
-81.10000000000001,38.20000000000002,0.1
-81.05000000000001,38.20000000000002,0.1
-81.00000000000001,38.20000000000002,0.1
-80.95000000000002,38.20000000000002,0.1
-80.90000000000002,38.20000000000002,0.1
-80.85000000000002,38.20000000000002,0.1
