lon,lat,soc
-81.05999999999996,38.45,1103
-80.95999999999991,38.45,1489
-80.9499999999999,38.45,1733
-80.9299999999999,38.45,1619
-80.88999999999987,38.45,1328
-80.9399999999999,38.440000000000005,1490
-80.96999999999991,38.42000000000001,1810
-80.9499999999999,38.42000000000001,1764
-80.9399999999999,38.42000000000001,1664
-80.9299999999999,38.42000000000001,1600
-80.91999999999989,38.42000000000001,1843
-80.89999999999988,38.42000000000001,1939
-80.87999999999987,38.42000000000001,1606
-80.85999999999986,38.42000000000001,1887
-81.15,38.41000000000001,1650
-81.14,38.41000000000001,1651
-81.13,38.41000000000001,1483
-81.11999999999999,38.41000000000001,1248
-81.10999999999999,38.41000000000001,1203
-81.09999999999998,38.41000000000001,1405
-81.04999999999995,38.41000000000001,1394
-81.01999999999994,38.41000000000001,1341
-81.00999999999993,38.41000000000001,1607
-80.97999999999992,38.41000000000001,1947
-80.96999999999991,38.41000000000001,1941
-80.86999999999986,38.41000000000001,1496
-81.09999999999998,38.40000000000001,1535
-81.00999999999993,38.390000000000015,1294
-80.98999999999992,38.390000000000015,1523
-81.15,38.38000000000002,1552
-81.07999999999997,38.38000000000002,1340
-80.95999999999991,38.38000000000002,1579
-80.88999999999987,38.38000000000002,1809
-80.85999999999986,38.38000000000002,2310
-81.15,38.37000000000002,1623
-81.14,38.37000000000002,1592
-80.9499999999999,38.37000000000002,1380
-80.9399999999999,38.37000000000002,1358
-80.9299999999999,38.37000000000002,1335
-80.91999999999989,38.37000000000002,1922
-80.90999999999988,38.37000000000002,1875
-80.89999999999988,38.37000000000002,1824
-80.85999999999986,38.37000000000002,2200
-81.14,38.36000000000002,1380
-81.13,38.36000000000002,1596
-81.11999999999999,38.36000000000002,1433
-81.10999999999999,38.36000000000002,1577
-81.09999999999998,38.36000000000002,1422
-81.08999999999997,38.36000000000002,1041
-81.07999999999997,38.36000000000002,1053
-81.06999999999996,38.36000000000002,1071
-81.04999999999995,38.36000000000002,1274
-81.03999999999995,38.36000000000002,1236
-81.01999999999994,38.36000000000002,1273
